avgPasses,isSamePos,diffInRank,meanDegree,betwPerGameP2,avgPCPercPerP1,p1,p2,weight
2.5,0,0,7.642857142857143,2.5658790283790283,0.4683333333333333,11,10,3
0.5,0,0,7.642857142857143,3.2857864357864357,0.4683333333333333,11,21,1
0.833333333333,0,0,7.642857142857143,1.2065536315536314,0.4683333333333333,11,22,1
0.5,0,0,7.642857142857143,2.1587301587301586,0.4683333333333333,11,3,1
1.16666666667,0,0,7.642857142857143,3.1569504569504567,0.4683333333333333,11,4,2
0.666666666667,0,0,7.642857142857143,0.45728114478114473,0.4683333333333333,11,7,2
3.33333333333,0,0,7.642857142857143,0.3910774410774411,0.6816666666666668,10,11,4
0.166666666667,0,0,7.642857142857143,1.0832732082732084,0.6816666666666668,10,24,1
1.33333333333,0,0,7.642857142857143,1.207545695045695,0.6816666666666668,10,26,3
1.66666666667,1,0,7.642857142857143,3.2857864357864357,0.6816666666666668,10,21,1
3.0,1,0,7.642857142857143,1.2065536315536314,0.6816666666666668,10,22,2
1.5,0,0,7.642857142857143,1.1574134199134198,0.6816666666666668,10,19,1
4.83333333333,0,0,7.642857142857143,2.1587301587301586,0.6816666666666668,10,3,8
4.33333333333,0,0,7.642857142857143,2.7028439153439145,0.6816666666666668,10,2,6
6.0,1,0,7.642857142857143,3.1569504569504567,0.6816666666666668,10,4,7
1.0,1,0,7.642857142857143,0.45728114478114473,0.6816666666666668,10,7,2
1.16666666667,0,0,7.642857142857143,1.0832732082732084,0.5,13,24,1
0.666666666667,0,0,7.642857142857143,1.207545695045695,0.5,13,26,1
0.333333333333,0,0,7.642857142857143,3.2857864357864357,0.5,13,21,1
1.16666666667,0,0,7.642857142857143,2.1587301587301586,0.5,13,3,5
0.166666666667,0,0,7.642857142857143,0.45728114478114473,0.5,13,7,1
0.666666666667,0,0,7.642857142857143,0.6021224146224146,0.5,13,8,1
4.16666666667,0,0,7.642857142857143,1.0832732082732084,0.9266666666666666,21,24,4
5.5,1,0,7.642857142857143,2.5658790283790283,0.9266666666666666,21,10,6
6.16666666667,0,0,7.642857142857143,1.207545695045695,0.9266666666666666,21,26,9
3.16666666667,1,0,7.642857142857143,1.2065536315536314,0.9266666666666666,21,22,2
