avgPasses,isSamePos,diffInRank,meanDegree,betwPerGameP1,betwPerGameP2,avgPassComplPerP1,avgPassComplPerP2,avgPassAttempPerP1,avgPassAttempPerP2,avgPCPercPerP1,avgPCPercPerP2,p1,p2,weight
2.5,0,0,7.642857142857143,0.3910774410774411,2.5658790283790283,8.333333333333334,34.666666666666664,8.333333333333334,34.666666666666664,0.4683333333333333,0.6816666666666668,11,10,3
0.5,0,0,7.642857142857143,0.3910774410774411,3.2857864357864357,8.333333333333334,57.666666666666664,8.333333333333334,57.666666666666664,0.4683333333333333,0.9266666666666666,11,21,1
0.833333333333,0,0,7.642857142857143,0.3910774410774411,1.2065536315536314,8.333333333333334,27.333333333333336,8.333333333333334,27.333333333333336,0.4683333333333333,0.7716666666666667,11,22,1
0.5,0,0,7.642857142857143,0.3910774410774411,2.1587301587301586,8.333333333333334,38.333333333333336,8.333333333333334,38.333333333333336,0.4683333333333333,0.7716666666666666,11,3,1
1.16666666667,0,0,7.642857142857143,0.3910774410774411,3.1569504569504567,8.333333333333334,68.33333333333333,8.333333333333334,68.33333333333333,0.4683333333333333,0.8916666666666666,11,4,2
0.666666666667,0,0,7.642857142857143,0.3910774410774411,0.45728114478114473,8.333333333333334,11.833333333333332,8.333333333333334,11.833333333333332,0.4683333333333333,0.5549999999999999,11,7,2
3.33333333333,0,0,7.642857142857143,2.5658790283790283,0.3910774410774411,34.666666666666664,8.333333333333334,34.666666666666664,8.333333333333334,0.6816666666666668,0.4683333333333333,10,11,4
0.166666666667,0,0,7.642857142857143,2.5658790283790283,1.0832732082732084,34.666666666666664,31.333333333333336,34.666666666666664,31.333333333333336,0.6816666666666668,0.6316666666666666,10,24,1
1.33333333333,0,0,7.642857142857143,2.5658790283790283,1.207545695045695,34.666666666666664,42.00000000000001,34.666666666666664,42.00000000000001,0.6816666666666668,0.8133333333333332,10,26,3
1.66666666667,1,0,7.642857142857143,2.5658790283790283,3.2857864357864357,34.666666666666664,57.666666666666664,34.666666666666664,57.666666666666664,0.6816666666666668,0.9266666666666666,10,21,1
3.0,1,0,7.642857142857143,2.5658790283790283,1.2065536315536314,34.666666666666664,27.333333333333336,34.666666666666664,27.333333333333336,0.6816666666666668,0.7716666666666667,10,22,2
1.5,0,0,7.642857142857143,2.5658790283790283,1.1574134199134198,34.666666666666664,11.833333333333332,34.666666666666664,11.833333333333332,0.6816666666666668,0.64,10,19,1
4.83333333333,0,0,7.642857142857143,2.5658790283790283,2.1587301587301586,34.666666666666664,38.333333333333336,34.666666666666664,38.333333333333336,0.6816666666666668,0.7716666666666666,10,3,8
4.33333333333,0,0,7.642857142857143,2.5658790283790283,2.7028439153439145,34.666666666666664,35.83333333333333,34.666666666666664,35.83333333333333,0.6816666666666668,0.75,10,2,6
6.0,1,0,7.642857142857143,2.5658790283790283,3.1569504569504567,34.666666666666664,68.33333333333333,34.666666666666664,68.33333333333333,0.6816666666666668,0.8916666666666666,10,4,7
1.0,1,0,7.642857142857143,2.5658790283790283,0.45728114478114473,34.666666666666664,11.833333333333332,34.666666666666664,11.833333333333332,0.6816666666666668,0.5549999999999999,10,7,2
1.16666666667,0,0,7.642857142857143,0.11978114478114478,1.0832732082732084,5.833333333333334,31.333333333333336,5.833333333333334,31.333333333333336,0.5,0.6316666666666666,13,24,1
0.666666666667,0,0,7.642857142857143,0.11978114478114478,1.207545695045695,5.833333333333334,42.00000000000001,5.833333333333334,42.00000000000001,0.5,0.8133333333333332,13,26,1
0.333333333333,0,0,7.642857142857143,0.11978114478114478,3.2857864357864357,5.833333333333334,57.666666666666664,5.833333333333334,57.666666666666664,0.5,0.9266666666666666,13,21,1
1.16666666667,0,0,7.642857142857143,0.11978114478114478,2.1587301587301586,5.833333333333334,38.333333333333336,5.833333333333334,38.333333333333336,0.5,0.7716666666666666,13,3,5
0.166666666667,0,0,7.642857142857143,0.11978114478114478,0.45728114478114473,5.833333333333334,11.833333333333332,5.833333333333334,11.833333333333332,0.5,0.5549999999999999,13,7,1
0.666666666667,0,0,7.642857142857143,0.11978114478114478,0.6021224146224146,5.833333333333334,25.0,5.833333333333334,25.0,0.5,0.7233333333333334,13,8,1
4.16666666667,0,0,7.642857142857143,3.2857864357864357,1.0832732082732084,57.666666666666664,31.333333333333336,57.666666666666664,31.333333333333336,0.9266666666666666,0.6316666666666666,21,24,4
5.5,1,0,7.642857142857143,3.2857864357864357,2.5658790283790283,57.666666666666664,34.666666666666664,57.666666666666664,34.666666666666664,0.9266666666666666,0.6816666666666668,21,10,6
6.16666666667,0,0,7.642857142857143,3.2857864357864357,1.207545695045695,57.666666666666664,42.00000000000001,57.666666666666664,42.00000000000001,0.9266666666666666,0.8133333333333332,21,26,9
3.16666666667,1,0,7.642857142857143,3.2857864357864357,1.2065536315536314,57.666666666666664,27.333333333333336,57.666666666666664,27.333333333333336,0.9266666666666666,0.7716666666666667,21,22,2
7.33333333333,0,0,7.642857142857143,3.2857864357864357,2.1587301587301586,57.666666666666664,38.333333333333336,57.666666666666664,38.333333333333336,0.9266666666666666,0.7716666666666666,21,3,9
3.5,0,0,7.642857142857143,3.2857864357864357,2.7028439153439145,57.666666666666664,35.83333333333333,57.666666666666664,35.83333333333333,0.9266666666666666,0.75,21,2,4
9.83333333333,1,0,7.642857142857143,3.2857864357864357,3.1569504569504567,57.666666666666664,68.33333333333333,57.666666666666664,68.33333333333333,0.9266666666666666,0.8916666666666666,21,4,13
